visitorid,Top10_RandomForest,Top10_Popularity
144291,"[461686, 143416, 147684, 283138, 264179, 373600, 213834, 141908, 243355, 216592]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
144513,"[143416, 461686, 147684, 213834, 373600, 243355, 218170, 140156, 453390, 217068]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
152963,"[138427, 464731, 232172, 340375, 172894, 442131, 46232, 38965, 80435, 253615]","[213834, 445351, 369447, 416017, 46156, 318333, 382885, 369158, 379520, 42002]"
153118,"[461686, 143416, 147684, 263008, 218170, 373600, 19789, 264179, 136860, 283138]","[461686, 119736, 48030, 7943, 17478, 369447, 312728, 420960, 416017, 46156]"
155340,"[461686, 143416, 147684, 373600, 243355, 283138, 141908, 453390, 264179, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
163049,"[143416, 149767, 82586, 214630, 150318, 373600, 461686, 450455, 141240, 141908]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
166605,"[461686, 143416, 147684, 283138, 264179, 373600, 213834, 400946, 216592, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
171376,"[461686, 143416, 147684, 373600, 283138, 141908, 243355, 453390, 264179, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
173863,"[141240, 150318, 214630, 141908, 25514, 373600, 269085, 383662, 149767, 143866]","[119736, 445351, 48030, 7943, 17478, 369447, 312728, 420960, 416017, 318333]"
175890,"[461686, 143416, 213834, 147684, 283138, 453390, 136860, 120763, 358348, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
176356,"[461686, 143416, 147684, 373600, 264179, 213834, 283138, 216592, 140156, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
186774,"[143416, 461686, 147684, 213834, 243355, 373600, 140156, 218170, 453390, 217068]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
187991,"[461686, 143416, 147684, 373600, 283138, 264179, 213834, 141908, 453390, 243355]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
193864,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
198153,"[214630, 143416, 367588, 450455, 141908, 373600, 141240, 381982, 373725, 25514]","[461686, 119736, 213834, 445351, 7943, 17478, 369447, 420960, 416017, 46156]"
208662,"[461686, 143416, 213834, 147684, 453390, 140156, 358348, 283138, 373600, 120763]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
218828,"[143416, 383662, 19789, 322032, 381982, 218170, 25514, 150318, 373725, 136860]","[119736, 7943, 17478, 369447, 312728, 409804, 318333, 268883, 37029, 382885]"
221662,"[461686, 143416, 147684, 213834, 373600, 264179, 216592, 136860, 140156, 283138]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
221868,"[461686, 143416, 147684, 213834, 373600, 243355, 400946, 140156, 453390, 283138]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
224553,"[461686, 143416, 147684, 283138, 264179, 373600, 141908, 243355, 216592, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
230215,"[461686, 143416, 147684, 213834, 373600, 264179, 283138, 136860, 141908, 216592]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
237886,"[461686, 143416, 147684, 373600, 283138, 264179, 141908, 453390, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
245823,"[461686, 143416, 147684, 213834, 453390, 218170, 358348, 82586, 375332, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
247235,"[214630, 373600, 25514, 264179, 122604, 464731, 232172, 320496, 181202, 266439]","[445351, 48030, 7943, 17478, 369447, 312728, 420960, 416017, 46156, 409804]"
251707,"[143416, 461686, 213834, 373600, 272455, 120763, 453390, 82586, 358348, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
265486,"[461686, 143416, 373600, 136860, 213834, 358348, 450455, 217946, 149767, 150318]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
265968,"[461686, 143416, 147684, 213834, 373600, 264179, 283138, 141908, 140156, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
266464,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
267136,"[461686, 143416, 147684, 373600, 283138, 243355, 264179, 213834, 400946, 141908]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
274981,"[461686, 143416, 136860, 373600, 358348, 450455, 213834, 217946, 283138, 141908]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
283477,"[461686, 143416, 32581, 147684, 131385, 358348, 213834, 19789, 10572, 256146]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
283553,"[461686, 143416, 147684, 213834, 373600, 283138, 264179, 136860, 216592, 141908]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
294088,"[461686, 143416, 213834, 147684, 358348, 373600, 283138, 453390, 120098, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
295158,"[461686, 143416, 147684, 213834, 32581, 383662, 8015, 136860, 372568, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
296167,"[461686, 143416, 147684, 283138, 264179, 141908, 373600, 213834, 372568, 216592]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
303381,"[373600, 141908, 450455, 141240, 269085, 25514, 216592, 150318, 449912, 38965]","[461686, 213834, 445351, 48030, 7943, 17478, 369447, 420960, 416017, 46156]"
304883,"[461686, 143416, 213834, 82586, 136860, 147684, 453390, 140156, 214630, 141240]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
310432,"[461686, 143416, 213834, 82586, 147684, 136860, 19789, 400946, 138114, 218170]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
312000,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
313075,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
316850,"[143416, 368113, 19789, 322032, 381982, 138114, 214630, 139936, 450455, 320900]","[461686, 119736, 48030, 7943, 17478, 369447, 416017, 46156, 318333, 369158]"
317190,"[461686, 143416, 213834, 147684, 453390, 136860, 283138, 140156, 120763, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
323687,"[461686, 143416, 82586, 147684, 453390, 213834, 264179, 136860, 373600, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
331270,"[461686, 143416, 147684, 19789, 218170, 264179, 373600, 25514, 82586, 283138]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
333607,"[461686, 143416, 213834, 147684, 453390, 283138, 373600, 140156, 358348, 120763]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
339526,"[143416, 461686, 227318, 383662, 373600, 150318, 82586, 269085, 25514, 141908]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
343016,"[461686, 143416, 213834, 147684, 373600, 140156, 82586, 400946, 243355, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
343283,"[461686, 143416, 147684, 373600, 283138, 141908, 243355, 453390, 264179, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
347176,"[461686, 143416, 147684, 213834, 373600, 140156, 136860, 264179, 216592, 214630]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
347610,"[461686, 143416, 213834, 82586, 218170, 358348, 147684, 19789, 453390, 375332]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
355297,"[461686, 143416, 147684, 373600, 243355, 140156, 283138, 453390, 263008, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
355834,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
361291,"[461686, 143416, 147684, 283138, 264179, 373600, 141908, 213834, 453390, 216592]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
366382,"[461686, 143416, 147684, 213834, 82586, 373600, 19789, 453390, 140156, 218170]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
368499,"[143416, 461686, 147684, 373600, 283138, 264179, 141908, 453390, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
372447,"[461686, 143416, 147684, 218170, 373600, 19789, 264179, 140156, 283138, 138114]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
373852,"[461686, 143416, 147684, 213834, 19789, 82586, 453390, 218170, 140156, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
382299,"[461686, 143416, 213834, 147684, 358348, 453390, 283138, 120763, 140156, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
383087,"[461686, 143416, 213834, 147684, 453390, 140156, 283138, 373600, 120763, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
390258,"[461686, 143416, 147684, 373600, 264179, 213834, 216592, 283138, 136860, 224182]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
414616,"[461686, 143416, 147684, 213834, 264179, 373600, 136860, 216592, 140156, 141240]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
418745,"[461686, 143416, 213834, 82586, 147684, 84160, 136860, 400946, 227318, 321905]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
421085,"[461686, 143416, 147684, 373600, 264179, 283138, 141908, 243355, 453390, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
425428,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
426015,"[461686, 143416, 147684, 283138, 264179, 373600, 141908, 243355, 7943, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
427504,"[461686, 143416, 147684, 213834, 453390, 283138, 373600, 140156, 358348, 264179]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
427756,"[143416, 461686, 147684, 283138, 373600, 264179, 243355, 141908, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
430913,"[461686, 143416, 147684, 162745, 206241, 213834, 453390, 342264, 32581, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
449506,"[461686, 143416, 147684, 373600, 283138, 264179, 141908, 213834, 453390, 243355]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
465974,"[461686, 143416, 213834, 147684, 264179, 373600, 140156, 283138, 136860, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
466004,"[461686, 143416, 213834, 147684, 373600, 136860, 264179, 214630, 140156, 216592]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
466583,"[461686, 143416, 147684, 373600, 283138, 264179, 213834, 453390, 141908, 243355]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
468096,"[461686, 143416, 147684, 373600, 283138, 243355, 264179, 141908, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
470959,"[461686, 143416, 147684, 373600, 243355, 140156, 283138, 453390, 263008, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
473078,"[461686, 143416, 147684, 373600, 243355, 453390, 283138, 19789, 140156, 400946]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
475172,"[143416, 214630, 450455, 373600, 367588, 141908, 141240, 25514, 19789, 149767]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
480399,"[461686, 143416, 147684, 373600, 283138, 243355, 264179, 141908, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
483048,"[461686, 143416, 213834, 453390, 283138, 147684, 140156, 120763, 373600, 264179]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
494643,"[461686, 143416, 147684, 373600, 140156, 453390, 263008, 243355, 283138, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
495095,"[461686, 143416, 213834, 147684, 373600, 140156, 136860, 82586, 453390, 400946]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
498134,"[461686, 143416, 213834, 140156, 147684, 373600, 214630, 136860, 141240, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
501429,"[461686, 143416, 213834, 147684, 373600, 136860, 453390, 82586, 450455, 358348]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 420960, 416017]"
507612,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
509017,"[461686, 143416, 19789, 263008, 267601, 373600, 147684, 149767, 25514, 214630]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
509346,"[461686, 143416, 147684, 264179, 283138, 373600, 141908, 216592, 213834, 372568]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
512033,"[461686, 143416, 147684, 373600, 264179, 283138, 141908, 243355, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
516355,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
518659,"[143416, 214630, 450455, 373600, 141908, 367588, 150318, 25514, 373725, 141240]","[461686, 119736, 445351, 48030, 7943, 17478, 369447, 420960, 416017, 46156]"
530559,"[373600, 215596, 264179, 141908, 136860, 150318, 138427, 89775, 320496, 80435]","[7943, 369447, 318333, 382885, 379520, 42002, 92466, 309778, 23762, 316472]"
532247,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 7943, 372568, 445224]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
532932,"[461686, 143416, 213834, 82586, 147684, 218170, 19789, 84160, 453390, 227318]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
541474,"[461686, 143416, 213834, 147684, 140156, 373600, 453390, 358348, 399192, 120763]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
546086,"[143416, 214630, 19789, 381982, 383662, 149767, 320900, 322032, 138114, 82586]","[119736, 48030, 7943, 17478, 369447, 420960, 416017, 46156, 318333, 382885]"
548949,"[461686, 143416, 147684, 373600, 213834, 264179, 136860, 283138, 216592, 224182]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
549012,"[461686, 143416, 147684, 373600, 136860, 264179, 140156, 214630, 453390, 141240]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
556179,"[461686, 143416, 147684, 264179, 283138, 373600, 141908, 216592, 224182, 213834]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
558068,"[461686, 143416, 147684, 373600, 213834, 264179, 283138, 453390, 400946, 243355]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
560891,"[461686, 143416, 147684, 373600, 283138, 243355, 264179, 141908, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
563454,"[461686, 143416, 147684, 82586, 373600, 213834, 136860, 453390, 264179, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
563495,"[143416, 461686, 147684, 283138, 373600, 264179, 141908, 243355, 453390, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
565492,"[461686, 143416, 213834, 147684, 136860, 373600, 216592, 453390, 140156, 264179]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
569740,"[461686, 143416, 147684, 373600, 283138, 264179, 141908, 453390, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
582525,"[461686, 143416, 147684, 373600, 264179, 283138, 141908, 213834, 136860, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
595640,"[461686, 143416, 147684, 82586, 213834, 358348, 19789, 453390, 218170, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
602801,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 216592, 243355, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
606755,"[461686, 143416, 147684, 373600, 140156, 263008, 283138, 453390, 243355, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
610841,"[461686, 143416, 213834, 82586, 147684, 375332, 453390, 369112, 358348, 240558]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
613825,"[461686, 143416, 147684, 213834, 373600, 243355, 140156, 453390, 218170, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
619488,"[461686, 143416, 147684, 213834, 373600, 264179, 216592, 136860, 140156, 283138]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
622704,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
623685,"[461686, 143416, 147684, 213834, 373600, 243355, 283138, 400946, 140156, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
625399,"[461686, 143416, 213834, 147684, 82586, 453390, 140156, 373600, 214630, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
642130,"[143416, 136860, 147684, 373600, 450455, 453390, 264179, 120763, 144991, 217946]","[119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960, 416017]"
643307,"[461686, 143416, 147684, 82586, 373600, 213834, 84160, 136860, 264179, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
645525,"[214630, 373600, 143416, 25514, 450455, 141240, 141908, 19789, 136860, 383662]","[461686, 445351, 48030, 7943, 17478, 369447, 312728, 420960, 416017, 46156]"
654608,"[461686, 143416, 147684, 141240, 136860, 373600, 214630, 264179, 380810, 143866]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
654878,"[461686, 143416, 147684, 373600, 283138, 141908, 243355, 453390, 264179, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
658626,"[461686, 143416, 213834, 82586, 136860, 84160, 450455, 453390, 120763, 444593]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
659024,"[143416, 461686, 147684, 283138, 264179, 373600, 141908, 243355, 216592, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
662041,"[461686, 143416, 147684, 283138, 264179, 373600, 141908, 213834, 216592, 224182]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
666335,"[461686, 143416, 147684, 373600, 283138, 264179, 453390, 141908, 243355, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
668937,"[461686, 143416, 147684, 373600, 140156, 263008, 453390, 243355, 283138, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
675843,"[461686, 143416, 147684, 283138, 264179, 373600, 141908, 243355, 216592, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
684531,"[461686, 143416, 147684, 373600, 243355, 140156, 283138, 453390, 400946, 19789]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
685502,"[461686, 143416, 147684, 373600, 264179, 283138, 453390, 213834, 141908, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
686854,"[143416, 141240, 214630, 25514, 373600, 373725, 450455, 141908, 143866, 150318]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
686940,"[461686, 143416, 147684, 213834, 82586, 453390, 140156, 373600, 136860, 264179]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
693709,"[143416, 214630, 19789, 381982, 450455, 367588, 322032, 373600, 82586, 141240]","[461686, 119736, 213834, 445351, 7943, 17478, 369447, 312728, 416017, 46156]"
713283,"[461686, 143416, 213834, 147684, 82586, 218170, 19789, 84160, 243355, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
726478,"[143416, 461686, 147684, 213834, 243355, 373600, 140156, 453390, 218170, 217068]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
727209,"[461686, 143416, 147684, 264179, 216592, 224182, 380810, 283138, 373600, 136860]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
729150,"[461686, 143416, 213834, 147684, 283138, 358348, 136860, 82586, 140156, 453390]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
738908,"[461686, 143416, 147684, 82586, 218170, 373600, 264179, 140156, 19789, 400946]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
740308,"[461686, 143416, 147684, 373600, 264179, 141240, 136860, 138309, 214630, 140156]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
754039,"[461686, 143416, 147684, 373600, 283138, 264179, 213834, 453390, 141908, 243355]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
760430,"[461686, 143416, 373600, 136860, 450455, 358348, 217946, 283138, 150318, 213834]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
761783,"[461686, 143416, 136182, 322577, 372397, 136860, 264179, 149767, 216592, 373600]","[461686, 119736, 213834, 445351, 48030, 7943, 17478, 369447, 312728, 420960]"
