ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,Year
13000042,JH13000042,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13000043,JH13000043,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,2,42,8,06,2025
13000044,JH13000044,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,22,42,8,06,2025
13000045,JH13000045,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,true,false,1224,16,42,8,06,2025
13000046,JH13000046,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000047,JH13000047,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13000048,JH13000048,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,8,42,8,06,2025
13000049,JH13000049,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,16,42,8,06,2025
13000050,JH13000050,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13000051,JH13000051,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13000052,JH13000052,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13000053,JH13000053,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,false,1224,4,42,8,06,2025
13000054,JH13000054,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,19,42,8,06,2025
13000055,JH13000055,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,8,42,8,06,2025
13000056,JH13000056,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,4,42,8,06,2025
13000057,JH13000057,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,false,1224,2,42,8,06,2025
13000058,JH13000058,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,true,false,1224,6,42,8,06,2025
13000059,JH13000059,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,false,1224,25,42,8,06,2025
13000060,JH13000060,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,false,true,1224,10,42,8,06,2025
13000061,JH13000061,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,true,1224,4,42,8,06,2025
13000062,JH13000062,12/16/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,true,false,1224,25,42,8,06,2025
13000063,JH13000063,12/16/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,false,1224,19,42,8,06,2025
13000064,JH13000064,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13000065,JH13000065,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,2,42,8,06,2025
13000066,JH13000066,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13000067,JH13000067,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,4,42,8,06,2025
13000068,JH13000068,12/16/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13000069,JH13000069,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,true,false,1224,17,42,8,06,2025
13000070,JH13000070,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13000071,JH13000071,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,true,1224,8,42,8,06,2025
13000072,JH13000072,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13000073,JH13000073,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,8,42,8,06,2025
13000074,JH13000074,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13000075,JH13000075,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,17,42,8,06,2025
13000076,JH13000076,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13000077,JH13000077,12/16/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,true,1224,19,42,8,06,2025
13000078,JH13000078,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13000079,JH13000079,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13000080,JH13000080,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13000081,JH13000081,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13000082,JH13000082,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13000083,JH13000083,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13000084,JH13000084,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,true,1224,1,42,8,06,2025
13000085,JH13000085,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000086,JH13000086,12/16/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13000087,JH13000087,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,true,true,1224,1,42,8,06,2025
13000088,JH13000088,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13000089,JH13000089,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,8,42,8,06,2025
13000090,JH13000090,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,11,42,8,06,2025
13000091,JH13000091,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13000092,JH13000092,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13000093,JH13000093,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,true,true,1224,8,42,8,06,2025
13000094,JH13000094,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13000095,JH13000095,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13000096,JH13000096,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13000097,JH13000097,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,5,42,8,06,2025
13000098,JH13000098,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,true,1224,10,42,8,06,2025
13000099,JH13000099,12/16/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000100,JH13000100,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,9,42,8,06,2025
13000101,JH13000101,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000102,JH13000102,12/16/2025 12:00:00 AM,100X N STATE ST,0820,MOTOR VEHICLE THEFT,$500 AND UNDER,STREET,false,true,1224,9,42,8,06,2025
13000103,JH13000103,12/16/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,false,1224,8,42,8,06,2025
13000104,JH13000104,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,12,42,8,06,2025
13000105,JH13000105,12/16/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,true,true,1224,2,42,8,06,2025
13000106,JH13000106,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,true,1224,1,42,8,06,2025
13000107,JH13000107,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,17,42,8,06,2025
13000108,JH13000108,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,5,42,8,06,2025
13000109,JH13000109,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BURGLARY,$500 AND UNDER,STREET,true,true,1224,3,42,8,06,2025
13000110,JH13000110,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13000111,JH13000111,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,8,42,8,06,2025
13000112,JH13000112,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,true,false,1224,25,42,8,06,2025
13000113,JH13000113,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13000114,JH13000114,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13000115,JH13000115,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13000116,JH13000116,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,5,42,8,06,2025
13000117,JH13000117,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13000118,JH13000118,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13000119,JH13000119,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13000120,JH13000120,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,true,1224,1,42,8,06,2025
13000121,JH13000121,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,5,42,8,06,2025
13000122,JH13000122,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,15,42,8,06,2025
13000123,JH13000123,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000124,JH13000124,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13000125,JH13000125,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13000126,JH13000126,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13000127,JH13000127,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,10,42,8,06,2025
13000128,JH13000128,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13000129,JH13000129,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13000130,JH13000130,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,true,1224,7,42,8,06,2025
13000131,JH13000131,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13000132,JH13000132,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,22,42,8,06,2025
13000133,JH13000133,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,4,42,8,06,2025
13000134,JH13000134,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,5,42,8,06,2025
13000135,JH13000135,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,7,42,8,06,2025
13000136,JH13000136,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13000137,JH13000137,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,16,42,8,06,2025
13000138,JH13000138,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,11,42,8,06,2025
13000139,JH13000139,12/16/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,4,42,8,06,2025
13000140,JH13000140,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13000141,JH13000141,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000142,JH13000142,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,20,42,8,06,2025
13000143,JH13000143,12/16/2025 12:00:00 AM,100X N STATE ST,0820,NARCOTICS,$500 AND UNDER,STREET,false,true,1224,25,42,8,06,2025
13000144,JH13000144,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,2,42,8,06,2025
13000145,JH13000145,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,10,42,8,06,2025
13000146,JH13000146,12/16/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,14,42,8,06,2025
13000147,JH13000147,12/16/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,24,42,8,06,2025
13000148,JH13000148,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,6,42,8,06,2025
13000149,JH13000149,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13000150,JH13000150,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13000151,JH13000151,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,false,1224,22,42,8,06,2025
13000152,JH13000152,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,false,false,1224,11,42,8,06,2025
13000153,JH13000153,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000154,JH13000154,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,true,1224,1,42,8,06,2025
13000155,JH13000155,12/16/2025 12:00:00 AM,100X N STATE ST,0820,OTHER OFFENSE,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13000156,JH13000156,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,true,1224,22,42,8,06,2025
13000157,JH13000157,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,false,1224,14,42,8,06,2025
13000158,JH13000158,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13000159,JH13000159,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,3,42,8,06,2025
13000160,JH13000160,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,7,42,8,06,2025
13000161,JH13000161,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,true,false,1224,6,42,8,06,2025
13000162,JH13000162,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,false,1224,8,42,8,06,2025
13000163,JH13000163,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13000164,JH13000164,12/16/2025 12:00:00 AM,100X N STATE ST,0820,CRIMINAL DAMAGE,$500 AND UNDER,STREET,false,false,1224,5,42,8,06,2025
13000165,JH13000165,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,1,42,8,06,2025
13000166,JH13000166,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,20,42,8,06,2025
13000167,JH13000167,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,true,1224,10,42,8,06,2025
13000168,JH13000168,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,12,42,8,06,2025
13000169,JH13000169,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,true,true,1224,16,42,8,06,2025
13000170,JH13000170,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,false,false,1224,25,42,8,06,2025
13000171,JH13000171,12/16/2025 12:00:00 AM,100X N STATE ST,0820,BATTERY,$500 AND UNDER,STREET,false,false,1224,9,42,8,06,2025
13000172,JH13000172,12/16/2025 12:00:00 AM,100X N STATE ST,0820,THEFT,$500 AND UNDER,STREET,true,true,1224,22,42,8,06,2025
13000173,JH13000173,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ROBBERY,$500 AND UNDER,STREET,false,false,1224,18,42,8,06,2025
13000174,JH13000174,12/16/2025 12:00:00 AM,100X N STATE ST,0820,ASSAULT,$500 AND UNDER,STREET,true,false,1224,18,42,8,06,2025
13000175,JH13000175,12/16/2025 12:00:00 AM,100X N STATE ST,0820,DECEPTIVE PRACTICE,$500 AND UNDER,STREET,false,false,1224,22,42,8,06,2025
