CustomerID,Top10_RandomForest,Top10_Popularity
12084,"[10197, 10085, 10228, 10294, 10268, 10223, 10180, 10125, 10171, 10217]","[10268, 10197, 10228, 10085, 10294, 10237, 10003, 10245, 10180, 10171]"
12085,"[10085, 10188, 10171, 10099, 10112, 10144, 10125, 10262, 10005, 10033]","[10188, 10085, 10262, 10237, 10144, 10003, 10245, 10180, 10171, 10005]"
12086,"[10197, 10085, 10294, 10228, 10262, 10195, 10224, 10172, 10217, 10154]","[10197, 10228, 10085, 10294, 10262, 10237, 10245, 10180, 10171, 10005]"
12087,"[10188, 10197, 10228, 10085, 10262, 10059, 10180, 10281, 10237, 10083]","[10197, 10228, 10188, 10085, 10262, 10237, 10144, 10003, 10245, 10180]"
12088,"[10188, 10197, 10085, 10294, 10228, 10262, 10033, 10144, 10171, 10112]","[10197, 10228, 10188, 10085, 10294, 10262, 10237, 10144, 10003, 10180]"
12089,"[10188, 10197, 10228, 10223, 10033, 10099, 10294, 10195, 10144, 10224]","[10197, 10228, 10188, 10294, 10237, 10144, 10003, 10245, 10223, 10045]"
12090,"[10135, 10104, 10281, 10145, 10170, 10274, 10073, 10094, 10243, 10000]","[10268, 10197, 10228, 10188, 10085, 10294, 10237, 10180, 10045, 10112]"
12091,"[10172, 10021, 10094, 10281, 10275, 10092, 10224, 10016, 10104, 10223]","[10197, 10228, 10085, 10262, 10237, 10144, 10245, 10180, 10005, 10223]"
12092,"[10197, 10188, 10228, 10085, 10294, 10033, 10180, 10083, 10144, 10001]","[10197, 10228, 10188, 10085, 10294, 10144, 10180, 10171, 10005, 10223]"
12093,"[10085, 10294, 10171, 10262, 10112, 10073, 10125, 10243, 10095, 10254]","[10085, 10294, 10262, 10237, 10144, 10180, 10171, 10005, 10112, 10125]"
12094,"[10085, 10188, 10294, 10228, 10262, 10170, 10073, 10114, 10223, 10067]","[10228, 10188, 10085, 10294, 10262, 10245, 10180, 10171, 10005, 10223]"
12095,"[10268, 10228, 10294, 10262, 10144, 10171, 10237, 10180, 10033, 10223]","[10268, 10228, 10294, 10262, 10237, 10144, 10245, 10180, 10171, 10223]"
12096,"[10268, 10294, 10228, 10262, 10151, 10223, 10154, 10099, 10125, 10094]","[10268, 10228, 10294, 10262, 10237, 10144, 10003, 10245, 10180, 10171]"
12097,"[10197, 10085, 10294, 10033, 10083, 10099, 10171, 10112, 10100, 10262]","[10197, 10085, 10294, 10262, 10144, 10003, 10180, 10171, 10005, 10223]"
12098,"[10228, 10085, 10262, 10083, 10033, 10281, 10059, 10195, 10060, 10073]","[10228, 10085, 10262, 10237, 10171, 10005, 10045, 10112, 10033, 10240]"
12099,"[10197, 10188, 10085, 10294, 10144, 10223, 10237, 10184, 10171, 10125]","[10197, 10188, 10085, 10294, 10237, 10144, 10003, 10245, 10171, 10005]"
12100,"[10197, 10188, 10294, 10281, 10217, 10083, 10033, 10224, 10059, 10112]","[10197, 10188, 10294, 10144, 10003, 10245, 10180, 10171, 10005, 10112]"
12101,"[10294, 10085, 10243, 10188, 10099, 10073, 10228, 10173, 10170, 10021]","[10228, 10188, 10085, 10294, 10237, 10144, 10245, 10180, 10005, 10223]"
12102,"[10197, 10188, 10228, 10224, 10294, 10059, 10281, 10083, 10100, 10217]","[10197, 10228, 10188, 10294, 10262, 10237, 10003, 10245, 10180, 10171]"
12103,"[10188, 10228, 10144, 10197, 10262, 10294, 10171, 10223, 10125, 10217]","[10197, 10228, 10188, 10294, 10262, 10237, 10144, 10245, 10171, 10223]"
12105,"[10085, 10188, 10294, 10262, 10224, 10260, 10281, 10100, 10033, 10083]","[10188, 10085, 10294, 10262, 10237, 10003, 10245, 10005, 10045, 10112]"
12106,"[10085, 10188, 10067, 10135, 10073, 10281, 10114, 10173, 10223, 10170]","[10188, 10085, 10237, 10245, 10180, 10005, 10223, 10045, 10112, 10240]"
12108,"[10197, 10085, 10294, 10146, 10151, 10299, 10188, 10104, 10049, 10154]","[10197, 10228, 10188, 10085, 10294, 10262, 10237, 10144, 10003, 10245]"
12109,"[10197, 10085, 10188, 10262, 10172, 10100, 10217, 10274, 10125, 10224]","[10197, 10188, 10085, 10262, 10237, 10144, 10245, 10180, 10005, 10045]"
12110,"[10144, 10294, 10228, 10188, 10172, 10223, 10033, 10083, 10021, 10184]","[10228, 10188, 10294, 10237, 10144, 10180, 10005, 10223, 10045, 10112]"
12111,"[10188, 10228, 10112, 10099, 10083, 10033, 10195, 10294, 10073, 10125]","[10228, 10188, 10294, 10262, 10144, 10003, 10223, 10045, 10112, 10125]"
12112,"[10243, 10125, 10223, 10170, 10173, 10281, 10099, 10224, 10275, 10114]","[10268, 10188, 10262, 10237, 10144, 10003, 10245, 10180, 10171, 10005]"
12113,"[10197, 10188, 10294, 10262, 10033, 10100, 10195, 10125, 10059, 10144]","[10197, 10188, 10294, 10262, 10237, 10144, 10245, 10180, 10171, 10005]"
12114,"[10197, 10033, 10059, 10262, 10125, 10099, 10100, 10092, 10213, 10275]","[10197, 10262, 10237, 10144, 10003, 10245, 10180, 10223, 10045, 10112]"
12115,"[10085, 10294, 10268, 10262, 10228, 10059, 10033, 10171, 10100, 10099]","[10268, 10228, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10180]"
12116,"[10085, 10188, 10144, 10223, 10170, 10125, 10180, 10171, 10243, 10231]","[10188, 10085, 10144, 10003, 10180, 10171, 10005, 10223, 10045, 10112]"
12117,"[10268, 10197, 10085, 10294, 10099, 10171, 10033, 10083, 10125, 10112]","[10268, 10197, 10085, 10294, 10237, 10144, 10003, 10245, 10180, 10171]"
12118,"[10294, 10144, 10262, 10125, 10219, 10079, 10224, 10083, 10216, 10223]","[10268, 10294, 10262, 10237, 10144, 10003, 10180, 10171, 10005, 10223]"
12119,"[10228, 10100, 10125, 10083, 10262, 10195, 10033, 10217, 10223, 10099]","[10228, 10262, 10144, 10003, 10245, 10180, 10171, 10223, 10045, 10125]"
12120,"[10085, 10188, 10228, 10240, 10045, 10112, 10237, 10005, 10180, 10016]","[10228, 10188, 10085, 10237, 10144, 10245, 10180, 10005, 10223, 10045]"
12121,"[10294, 10237, 10003, 10180, 10005, 10112, 10099, 10229, 10217, 10139]","[10294, 10237, 10003, 10245, 10180, 10005, 10112, 10125, 10099, 10083]"
12122,"[10228, 10171, 10223, 10262, 10125, 10112, 10099, 10195, 10100, 10083]","[10228, 10262, 10237, 10003, 10171, 10005, 10223, 10045, 10112, 10125]"
12123,"[10188, 10228, 10294, 10033, 10083, 10059, 10099, 10100, 10217, 10125]","[10228, 10188, 10294, 10144, 10003, 10245, 10005, 10045, 10112, 10125]"
12124,"[10188, 10197, 10085, 10294, 10262, 10125, 10144, 10059, 10224, 10223]","[10197, 10188, 10085, 10294, 10262, 10237, 10144, 10245, 10180, 10005]"
12125,"[10188, 10294, 10262, 10237, 10075, 10104, 10003, 10171, 10223, 10240]","[10188, 10294, 10262, 10237, 10003, 10245, 10171, 10005, 10223, 10045]"
12126,"[10268, 10188, 10228, 10085, 10294, 10281, 10224, 10059, 10262, 10173]","[10268, 10228, 10188, 10085, 10294, 10262, 10144, 10003, 10245, 10180]"
12127,"[10197, 10188, 10294, 10144, 10237, 10112, 10033, 10171, 10224, 10217]","[10197, 10188, 10294, 10237, 10144, 10171, 10223, 10045, 10112, 10125]"
12128,"[10085, 10188, 10228, 10171, 10262, 10294, 10144, 10112, 10099, 10240]","[10228, 10188, 10085, 10294, 10262, 10237, 10144, 10003, 10180, 10171]"
12129,"[10268, 10294, 10228, 10188, 10237, 10100, 10059, 10171, 10083, 10299]","[10268, 10228, 10188, 10294, 10237, 10144, 10003, 10245, 10180, 10171]"
12130,"[10085, 10268, 10197, 10294, 10188, 10262, 10237, 10272, 10139, 10100]","[10268, 10197, 10188, 10085, 10294, 10262, 10237, 10144, 10003, 10245]"
12131,"[10188, 10085, 10228, 10294, 10197, 10223, 10144, 10217, 10125, 10059]","[10197, 10228, 10188, 10085, 10294, 10237, 10144, 10003, 10180, 10171]"
12132,"[10197, 10085, 10188, 10262, 10294, 10104, 10146, 10075, 10055, 10151]","[10197, 10188, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10180]"
12133,"[10197, 10188, 10125, 10223, 10083, 10213, 10171, 10033, 10100, 10112]","[10197, 10228, 10188, 10085, 10262, 10144, 10003, 10245, 10171, 10005]"
12134,"[10085, 10294, 10262, 10224, 10144, 10083, 10125, 10060, 10099, 10072]","[10085, 10294, 10262, 10237, 10144, 10003, 10245, 10180, 10005, 10223]"
12135,"[10188, 10294, 10099, 10059, 10171, 10112, 10100, 10083, 10223, 10217]","[10188, 10294, 10237, 10144, 10003, 10245, 10171, 10005, 10223, 10045]"
12138,"[10197, 10294, 10268, 10180, 10170, 10073, 10224, 10083, 10059, 10243]","[10268, 10197, 10294, 10237, 10003, 10245, 10180, 10005, 10223, 10045]"
12139,"[10188, 10197, 10262, 10059, 10217, 10294, 10083, 10033, 10144, 10195]","[10197, 10188, 10294, 10262, 10237, 10144, 10003, 10245, 10180, 10171]"
12140,"[10085, 10262, 10294, 10228, 10144, 10275, 10033, 10217, 10059, 10038]","[10228, 10085, 10294, 10262, 10144, 10003, 10245, 10171, 10005, 10223]"
12141,"[10197, 10059, 10083, 10033, 10217, 10085, 10188, 10228, 10100, 10125]","[10197, 10228, 10188, 10085, 10262, 10237, 10245, 10171, 10005, 10045]"
12142,"[10188, 10085, 10197, 10144, 10180, 10170, 10243, 10083, 10125, 10059]","[10197, 10188, 10085, 10237, 10144, 10003, 10245, 10180, 10112, 10125]"
12143,"[10188, 10224, 10294, 10100, 10125, 10083, 10099, 10195, 10059, 10144]","[10188, 10294, 10262, 10237, 10144, 10003, 10245, 10180, 10171, 10005]"
12144,"[10268, 10197, 10085, 10188, 10294, 10228, 10033, 10059, 10083, 10001]","[10268, 10197, 10228, 10188, 10085, 10294, 10237, 10144, 10003, 10245]"
12145,"[10268, 10197, 10085, 10294, 10188, 10262, 10104, 10146, 10217, 10075]","[10268, 10197, 10188, 10085, 10294, 10262, 10237, 10144, 10003, 10180]"
12146,"[10085, 10294, 10172, 10033, 10083, 10125, 10059, 10228, 10195, 10272]","[10228, 10085, 10294, 10262, 10144, 10003, 10245, 10180, 10171, 10005]"
12147,"[10268, 10094, 10281, 10203, 10275, 10114, 10184, 10075, 10229, 10104]","[10268, 10197, 10228, 10188, 10085, 10262, 10237, 10003, 10245, 10171]"
12148,"[10188, 10197, 10085, 10228, 10294, 10237, 10217, 10180, 10203, 10021]","[10197, 10228, 10188, 10085, 10294, 10237, 10003, 10245, 10180, 10171]"
12149,"[10018, 10014, 10073, 10137, 10071, 10163, 10104, 10216, 10243, 10159]","[10294, 10262, 10237, 10144, 10003, 10180, 10171, 10045, 10112, 10125]"
12150,"[10228, 10188, 10262, 10114, 10163, 10073, 10243, 10170, 10071, 10021]","[10228, 10188, 10262, 10237, 10003, 10245, 10180, 10171, 10045, 10112]"
12151,"[10085, 10188, 10268, 10294, 10223, 10170, 10112, 10099, 10180, 10125]","[10268, 10188, 10085, 10294, 10003, 10245, 10180, 10005, 10223, 10045]"
12152,"[10197, 10085, 10228, 10188, 10268, 10146, 10104, 10262, 10049, 10075]","[10268, 10197, 10228, 10188, 10085, 10262, 10144, 10003, 10245, 10180]"
12153,"[10268, 10085, 10188, 10262, 10099, 10100, 10171, 10223, 10139, 10217]","[10268, 10188, 10085, 10262, 10237, 10144, 10003, 10245, 10171, 10223]"
12154,"[10294, 10243, 10073, 10170, 10223, 10262, 10125, 10023, 10173, 10114]","[10268, 10294, 10262, 10237, 10003, 10245, 10180, 10171, 10005, 10223]"
12155,"[10228, 10294, 10171, 10240, 10059, 10180, 10223, 10262, 10224, 10033]","[10228, 10294, 10262, 10144, 10003, 10245, 10180, 10171, 10005, 10223]"
12156,"[10085, 10228, 10223, 10144, 10125, 10180, 10099, 10171, 10112, 10033]","[10228, 10085, 10237, 10144, 10003, 10245, 10180, 10171, 10223, 10045]"
12157,"[10085, 10228, 10294, 10083, 10100, 10171, 10170, 10059, 10112, 10163]","[10228, 10085, 10294, 10237, 10144, 10003, 10245, 10171, 10045, 10112]"
12158,"[10188, 10268, 10059, 10033, 10100, 10085, 10125, 10083, 10001, 10294]","[10268, 10188, 10085, 10294, 10237, 10003, 10245, 10180, 10171, 10223]"
12159,"[10188, 10294, 10144, 10170, 10067, 10281, 10114, 10163, 10243, 10023]","[10188, 10294, 10237, 10144, 10003, 10245, 10171, 10005, 10045, 10112]"
12160,"[10268, 10197, 10188, 10223, 10085, 10125, 10144, 10180, 10294, 10262]","[10268, 10197, 10188, 10085, 10294, 10262, 10144, 10003, 10180, 10171]"
12161,"[10197, 10188, 10085, 10228, 10294, 10100, 10125, 10083, 10033, 10268]","[10268, 10197, 10228, 10188, 10085, 10294, 10144, 10003, 10245, 10180]"
12163,"[10085, 10294, 10144, 10114, 10073, 10163, 10170, 10067, 10079, 10060]","[10085, 10294, 10237, 10144, 10003, 10005, 10223, 10045, 10112, 10033]"
12164,"[10188, 10085, 10228, 10262, 10180, 10083, 10059, 10237, 10033, 10224]","[10228, 10188, 10085, 10262, 10237, 10003, 10245, 10180, 10171, 10005]"
12165,"[10085, 10228, 10294, 10262, 10144, 10104, 10073, 10135, 10114, 10067]","[10228, 10085, 10294, 10262, 10237, 10144, 10245, 10180, 10223, 10045]"
12166,"[10228, 10085, 10294, 10262, 10144, 10224, 10059, 10083, 10223, 10114]","[10228, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10171, 10005]"
12167,"[10085, 10197, 10188, 10294, 10268, 10262, 10223, 10125, 10180, 10170]","[10268, 10197, 10188, 10085, 10294, 10262, 10003, 10245, 10180, 10171]"
12168,"[10228, 10135, 10073, 10170, 10173, 10000, 10137, 10172, 10145, 10281]","[10228, 10245, 10180, 10171, 10005, 10045, 10112, 10125, 10240, 10099]"
12169,"[10151, 10099, 10049, 10223, 10144, 10125, 10171, 10162, 10206, 10075]","[10228, 10188, 10085, 10262, 10237, 10144, 10003, 10245, 10180, 10171]"
12170,"[10268, 10294, 10228, 10188, 10237, 10262, 10021, 10146, 10151, 10275]","[10268, 10228, 10188, 10294, 10262, 10237, 10144, 10003, 10245, 10005]"
12171,"[10085, 10188, 10294, 10144, 10005, 10112, 10237, 10099, 10059, 10083]","[10188, 10085, 10294, 10237, 10144, 10005, 10223, 10112, 10125, 10033]"
12172,"[10085, 10197, 10294, 10228, 10262, 10144, 10067, 10170, 10114, 10073]","[10197, 10228, 10085, 10294, 10262, 10237, 10144, 10003, 10245, 10005]"
12173,"[10188, 10228, 10262, 10033, 10172, 10059, 10144, 10272, 10224, 10083]","[10228, 10188, 10262, 10237, 10144, 10003, 10245, 10180, 10171, 10005]"
