CustomerID,Rank,RF_StockCode,RF_Description,Pop_StockCode,Pop_Description,CF_StockCode,MF_StockCode,Is_True_Positive_RF,Is_True_Positive_Pop
12374,2,22139,RETROSPOT TEA SET CERAMIC 11 PC ,22423,REGENCY CAKESTAND 3 TIER,22423,22423,0,1
12374,3,22624,IVORY KITCHEN SCALES,85099B,JUMBO BAG RED RETROSPOT,85099B,85099B,0,0
12374,4,23298,SPOTTY BUNTING,47566,PARTY BUNTING,47566,47566,0,0
12374,5,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,84879,ASSORTED COLOUR BIRD ORNAMENT,84879,84879,0,0
12374,6,22111,SCOTTIE DOG HOT WATER BOTTLE,20725,LUNCH BAG RED RETROSPOT,20725,20725,0,0
12374,7,22138,BAKING SET 9 PIECE RETROSPOT ,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22720,22720,0,0
12374,8,21034,REX CASH+CARRY JUMBO SHOPPER,22383,LUNCH BAG SUKI  DESIGN ,22383,22383,0,0
12374,9,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,POST,POSTAGE,POST,POST,0,1
12374,10,85099B,JUMBO BAG RED RETROSPOT,21212,PACK OF 72 RETROSPOT CAKE CASES,21212,21212,0,0
12375,1,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,23199,85099B,0,0
12375,2,22595,CHRISTMAS GINGHAM HEART,22423,REGENCY CAKESTAND 3 TIER,20724,23199,0,0
12375,3,22144,CHRISTMAS CRAFT LITTLE FRIENDS,85099B,JUMBO BAG RED RETROSPOT,85099B,22386,0,0
12375,4,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,47566,PARTY BUNTING,20712,23202,0,0
12375,5,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,84879,ASSORTED COLOUR BIRD ORNAMENT,20723,23201,0,0
12375,6,21889,WOODEN BOX OF DOMINOES,20725,LUNCH BAG RED RETROSPOT,21931,85099F,0,0
12375,7,22969,HOMEMADE JAM SCENTED CANDLES,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,23204,22411,0,0
12375,8,22867,HAND WARMER BIRD DESIGN,22383,LUNCH BAG SUKI  DESIGN ,22386,20712,0,0
12375,9,23298,SPOTTY BUNTING,21212,PACK OF 72 RETROSPOT CAKE CASES,23202,21931,0,0
12375,10,22952,60 CAKE CASES VINTAGE CHRISTMAS,20727,LUNCH BAG  BLACK SKULL.,20725,20724,0,0
12380,1,23319,BOX OF 6 MINI 50'S CRACKERS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20727,20727,0,0
12380,2,22144,CHRISTMAS CRAFT LITTLE FRIENDS,22423,REGENCY CAKESTAND 3 TIER,23209,23209,0,0
12380,3,22595,CHRISTMAS GINGHAM HEART,47566,PARTY BUNTING,23207,23203,0,0
12380,4,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,84879,ASSORTED COLOUR BIRD ORNAMENT,23203,23207,0,0
12380,5,21892,TRADITIONAL WOODEN CATCH CUP GAME ,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,23208,23202,0,0
12380,6,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,20727,LUNCH BAG  BLACK SKULL.,22662,23208,0,0
12380,7,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,23298,SPOTTY BUNTING,23202,23200,0,0
12380,8,22969,HOMEMADE JAM SCENTED CANDLES,23203,JUMBO BAG DOILEY PATTERNS,23200,21929,0,0
12380,9,22952,60 CAKE CASES VINTAGE CHRISTMAS,23209,LUNCH BAG DOILEY PATTERN ,21930,22662,0,0
12380,10,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,22457,NATURAL SLATE HEART CHALKBOARD ,21929,22411,0,0
12381,1,22144,CHRISTMAS CRAFT LITTLE FRIENDS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21212,22960,0,0
12381,2,22595,CHRISTMAS GINGHAM HEART,85099B,JUMBO BAG RED RETROSPOT,23307,22961,0,0
12381,3,21892,TRADITIONAL WOODEN CATCH CUP GAME ,84879,ASSORTED COLOUR BIRD ORNAMENT,22382,23245,0,0
12381,4,21485,RETROSPOT HEART HOT WATER BOTTLE,20725,LUNCH BAG RED RETROSPOT,22961,22138,0,0
12381,5,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,22383,LUNCH BAG SUKI  DESIGN ,20725,23296,0,0
12381,6,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,21212,PACK OF 72 RETROSPOT CAKE CASES,22960,23307,0,1
12381,7,23356,LOVE HOT WATER BOTTLE,20727,LUNCH BAG  BLACK SKULL.,23245,22722,0,0
12381,8,21770,OPEN CLOSED METAL SIGN,23298,SPOTTY BUNTING,23298,23295,0,0
12381,9,22867,HAND WARMER BIRD DESIGN,23203,JUMBO BAG DOILEY PATTERNS,23209,22969,0,0
12381,10,84375,SET OF 20 KIDS COOKIE CUTTERS,23209,LUNCH BAG DOILEY PATTERN ,23207,21790,0,0
12388,1,22144,CHRISTMAS CRAFT LITTLE FRIENDS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,23307,22993,0,0
12388,2,22595,CHRISTMAS GINGHAM HEART,22423,REGENCY CAKESTAND 3 TIER,22993,22907,0,0
12388,3,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,85099B,JUMBO BAG RED RETROSPOT,21212,23307,0,0
12388,4,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,84879,ASSORTED COLOUR BIRD ORNAMENT,22423,22666,0,0
12388,5,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,20725,LUNCH BAG RED RETROSPOT,22666,23240,0,0
12388,6,21770,OPEN CLOSED METAL SIGN,22383,LUNCH BAG SUKI  DESIGN ,22907,22084,0,0
12388,7,23344,JUMBO BAG 50'S CHRISTMAS ,POST,POSTAGE,23240,23306,0,0
12388,8,21485,RETROSPOT HEART HOT WATER BOTTLE,21212,PACK OF 72 RETROSPOT CAKE CASES,23209,23313,0,0
12388,9,23356,LOVE HOT WATER BOTTLE,20727,LUNCH BAG  BLACK SKULL.,23203,22090,0,0
12388,10,22867,HAND WARMER BIRD DESIGN,23203,JUMBO BAG DOILEY PATTERNS,22966,23203,0,0
12391,1,22423,REGENCY CAKESTAND 3 TIER,85123A,WHITE HANGING HEART T-LIGHT HOLDER,85123A,85123A,0,1
12391,2,22139,RETROSPOT TEA SET CERAMIC 11 PC ,22423,REGENCY CAKESTAND 3 TIER,22423,22423,0,0
12391,3,22624,IVORY KITCHEN SCALES,85099B,JUMBO BAG RED RETROSPOT,85099B,85099B,0,0
12391,4,23298,SPOTTY BUNTING,47566,PARTY BUNTING,47566,47566,1,1
12391,5,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,84879,ASSORTED COLOUR BIRD ORNAMENT,84879,84879,0,0
12391,6,22111,SCOTTIE DOG HOT WATER BOTTLE,20725,LUNCH BAG RED RETROSPOT,20725,20725,0,1
12391,7,22138,BAKING SET 9 PIECE RETROSPOT ,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22720,22720,0,0
12391,8,21034,REX CASH+CARRY JUMBO SHOPPER,22383,LUNCH BAG SUKI  DESIGN ,22383,22383,1,0
12391,9,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,POST,POSTAGE,POST,POST,0,0
12391,10,85099B,JUMBO BAG RED RETROSPOT,21212,PACK OF 72 RETROSPOT CAKE CASES,21212,21212,0,0
12395,1,23319,BOX OF 6 MINI 50'S CRACKERS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22382,22554,0,0
12395,2,22144,CHRISTMAS CRAFT LITTLE FRIENDS,47566,PARTY BUNTING,20725,22555,0,0
12395,3,22595,CHRISTMAS GINGHAM HEART,84879,ASSORTED COLOUR BIRD ORNAMENT,20726,22328,0,0
12395,4,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,20725,LUNCH BAG RED RETROSPOT,22662,23245,0,0
12395,5,21770,OPEN CLOSED METAL SIGN,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,23209,84991,0,0
12395,6,23344,JUMBO BAG 50'S CHRISTMAS ,22383,LUNCH BAG SUKI  DESIGN ,22383,22382,0,0
12395,7,21485,RETROSPOT HEART HOT WATER BOTTLE,20727,LUNCH BAG  BLACK SKULL.,23206,22138,0,0
12395,8,22082,RIBBON REEL STRIPES DESIGN ,23298,SPOTTY BUNTING,22631,22631,0,0
12395,9,22867,HAND WARMER BIRD DESIGN,23203,JUMBO BAG DOILEY PATTERNS,23207,22951,0,0
12395,10,21136,PAINTED METAL PEARS ASSORTED,23209,LUNCH BAG DOILEY PATTERN ,20728,20726,0,0
12406,1,23319,BOX OF 6 MINI 50'S CRACKERS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22382,22727,0,0
12406,2,22144,CHRISTMAS CRAFT LITTLE FRIENDS,22423,REGENCY CAKESTAND 3 TIER,20725,22726,0,0
12406,3,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,85099B,JUMBO BAG RED RETROSPOT,20728,22382,0,0
12406,4,22595,CHRISTMAS GINGHAM HEART,47566,PARTY BUNTING,23209,22730,0,0
12406,5,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,84879,ASSORTED COLOUR BIRD ORNAMENT,21212,22554,0,0
12406,6,22082,RIBBON REEL STRIPES DESIGN ,20725,LUNCH BAG RED RETROSPOT,23208,20726,0,0
12406,7,23343,JUMBO BAG VINTAGE CHRISTMAS ,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,20726,22326,0,0
12406,8,21485,RETROSPOT HEART HOT WATER BOTTLE,POST,POSTAGE,22727,22631,0,0
12406,9,85049E,SCANDINAVIAN REDS RIBBONS,21212,PACK OF 72 RETROSPOT CAKE CASES,22993,22659,0,0
12406,10,23356,LOVE HOT WATER BOTTLE,20727,LUNCH BAG  BLACK SKULL.,22554,22328,0,0
12415,1,23503,PLAYING CARDS KEEP CALM & CARRY ON,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20728,21790,0,0
12415,2,23311,VINTAGE CHRISTMAS STOCKING ,84879,ASSORTED COLOUR BIRD ORNAMENT,22383,22086,0,0
12415,3,35970,ZINC FOLKART SLEIGH BELLS,22383,LUNCH BAG SUKI  DESIGN ,22384,22328,0,0
12415,4,23318,BOX OF 6 MINI VINTAGE CRACKERS,20728,LUNCH BAG CARS BLUE,22966,22966,0,0
12415,5,23319,BOX OF 6 MINI 50'S CRACKERS,22469,HEART OF WICKER SMALL,84991,22197,0,0
12415,6,22579,WOODEN TREE CHRISTMAS SCANDINAVIAN,22384,LUNCH BAG PINK POLKADOT,23199,21889,0,1
12415,7,22595,CHRISTMAS GINGHAM HEART,22197,SMALL POPCORN HOLDER,22086,23198,0,0
12415,8,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,82482,WOODEN PICTURE FRAME WHITE FINISH,84992,22367,0,0
12415,9,22144,CHRISTMAS CRAFT LITTLE FRIENDS,22178,VICTORIAN GLASS HANGING T-LIGHT,22385,23290,0,0
12415,10,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,22470,HEART OF WICKER LARGE,22328,22561,0,0
12417,1,23319,BOX OF 6 MINI 50'S CRACKERS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,23307,22697,0,0
12417,2,22144,CHRISTMAS CRAFT LITTLE FRIENDS,85099B,JUMBO BAG RED RETROSPOT,22961,22961,0,0
12417,3,21485,RETROSPOT HEART HOT WATER BOTTLE,47566,PARTY BUNTING,20725,22698,0,0
12417,4,22595,CHRISTMAS GINGHAM HEART,84879,ASSORTED COLOUR BIRD ORNAMENT,23298,23243,0,0
12417,5,23344,JUMBO BAG 50'S CHRISTMAS ,20725,LUNCH BAG RED RETROSPOT,47566,23171,0,0
12417,6,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,22383,LUNCH BAG SUKI  DESIGN ,22907,23307,0,0
12417,7,23343,JUMBO BAG VINTAGE CHRISTMAS ,20727,LUNCH BAG  BLACK SKULL.,23243,22969,0,0
12417,8,21892,TRADITIONAL WOODEN CATCH CUP GAME ,23298,SPOTTY BUNTING,22382,22907,0,0
12417,9,22082,RIBBON REEL STRIPES DESIGN ,23203,JUMBO BAG DOILEY PATTERNS,23203,23172,0,0
12417,10,84375,SET OF 20 KIDS COOKIE CUTTERS,20728,LUNCH BAG CARS BLUE,23207,22989,0,0
12421,1,22595,CHRISTMAS GINGHAM HEART,85123A,WHITE HANGING HEART T-LIGHT HOLDER,21212,85123A,0,0
12421,2,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,22423,REGENCY CAKESTAND 3 TIER,85123A,21212,0,0
12421,3,22144,CHRISTMAS CRAFT LITTLE FRIENDS,85099B,JUMBO BAG RED RETROSPOT,47559B,84992,0,0
12421,4,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,47566,PARTY BUNTING,84992,21231,0,0
12421,5,22952,60 CAKE CASES VINTAGE CHRISTMAS,84879,ASSORTED COLOUR BIRD ORNAMENT,21231,22469,0,0
12421,6,22969,HOMEMADE JAM SCENTED CANDLES,20725,LUNCH BAG RED RETROSPOT,20725,84378,0,0
12421,7,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22804,22423,0,0
12421,8,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,22383,LUNCH BAG SUKI  DESIGN ,22423,47566,0,0
12421,9,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,21212,PACK OF 72 RETROSPOT CAKE CASES,21977,21977,0,0
12421,10,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,20727,LUNCH BAG  BLACK SKULL.,22720,22027,0,0
12423,1,23319,BOX OF 6 MINI 50'S CRACKERS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,20726,22551,0,0
12423,2,22144,CHRISTMAS CRAFT LITTLE FRIENDS,22423,REGENCY CAKESTAND 3 TIER,23206,22556,0,0
12423,3,22595,CHRISTMAS GINGHAM HEART,47566,PARTY BUNTING,23209,22630,0,0
12423,4,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,22383,LUNCH BAG SUKI  DESIGN ,22383,21559,0,0
12423,5,21892,TRADITIONAL WOODEN CATCH CUP GAME ,21212,PACK OF 72 RETROSPOT CAKE CASES,23207,20726,0,0
12423,6,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,20727,LUNCH BAG  BLACK SKULL.,20727,20712,0,0
12423,7,22577,WOODEN HEART CHRISTMAS SCANDINAVIAN,23298,SPOTTY BUNTING,20728,23206,0,0
12423,8,21770,OPEN CLOSED METAL SIGN,23203,JUMBO BAG DOILEY PATTERNS,22662,22631,0,0
12423,9,23344,JUMBO BAG 50'S CHRISTMAS ,23209,LUNCH BAG DOILEY PATTERN ,22630,23203,0,0
12423,10,21485,RETROSPOT HEART HOT WATER BOTTLE,20728,LUNCH BAG CARS BLUE,22384,20750,0,0
12427,1,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,22629,22554,0,0
12427,2,21485,RETROSPOT HEART HOT WATER BOTTLE,22423,REGENCY CAKESTAND 3 TIER,22382,22551,0,0
12427,3,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,85099B,JUMBO BAG RED RETROSPOT,22551,22556,0,0
12427,4,22595,CHRISTMAS GINGHAM HEART,47566,PARTY BUNTING,22554,22326,0,0
12427,5,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,84879,ASSORTED COLOUR BIRD ORNAMENT,20725,22147,0,0
12427,6,22969,HOMEMADE JAM SCENTED CANDLES,20725,LUNCH BAG RED RETROSPOT,20726,22555,0,0
12427,7,23245,SET OF 3 REGENCY CAKE TINS,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22328,22150,0,0
12427,8,22139,RETROSPOT TEA SET CERAMIC 11 PC ,22383,LUNCH BAG SUKI  DESIGN ,22326,22328,0,0
12427,9,21770,OPEN CLOSED METAL SIGN,21212,PACK OF 72 RETROSPOT CAKE CASES,22630,20972,0,0
12427,10,22621,TRADITIONAL KNITTING NANCY,20727,LUNCH BAG  BLACK SKULL.,23206,22749,0,0
12428,1,22734,SET OF 6 RIBBONS VINTAGE CHRISTMAS,22423,REGENCY CAKESTAND 3 TIER,20725,22907,0,0
12428,2,35970,ZINC FOLKART SLEIGH BELLS,84879,ASSORTED COLOUR BIRD ORNAMENT,22423,23298,0,0
12428,3,23319,BOX OF 6 MINI 50'S CRACKERS,20725,LUNCH BAG RED RETROSPOT,22382,22666,0,0
12428,4,22144,CHRISTMAS CRAFT LITTLE FRIENDS,22383,LUNCH BAG SUKI  DESIGN ,22993,22077,0,0
12428,5,21892,TRADITIONAL WOODEN CATCH CUP GAME ,20727,LUNCH BAG  BLACK SKULL.,23298,21155,0,0
12428,6,22141,CHRISTMAS CRAFT TREE TOP ANGEL,23298,SPOTTY BUNTING,23209,21498,0,0
12428,7,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,23209,LUNCH BAG DOILEY PATTERN ,22384,22138,0,0
12428,8,21770,OPEN CLOSED METAL SIGN,20728,LUNCH BAG CARS BLUE,22907,85099F,0,0
12428,9,23356,LOVE HOT WATER BOTTLE,22382,LUNCH BAG SPACEBOY DESIGN ,23245,22090,0,0
12428,10,23344,JUMBO BAG 50'S CHRISTMAS ,22457,NATURAL SLATE HEART CHALKBOARD ,20728,21506,0,0
12429,1,23319,BOX OF 6 MINI 50'S CRACKERS,85123A,WHITE HANGING HEART T-LIGHT HOLDER,23307,22629,0,0
12429,2,22595,CHRISTMAS GINGHAM HEART,85099B,JUMBO BAG RED RETROSPOT,20725,22191,0,0
12429,3,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,20725,LUNCH BAG RED RETROSPOT,22382,22630,0,0
12429,4,22910,PAPER CHAIN KIT VINTAGE CHRISTMAS,22720,SET OF 3 CAKE TINS PANTRY DESIGN ,22720,22193,0,0
12429,5,22909,SET OF 20 VINTAGE CHRISTMAS NAPKINS,22383,LUNCH BAG SUKI  DESIGN ,23207,22192,0,0
12429,6,22144,CHRISTMAS CRAFT LITTLE FRIENDS,20727,LUNCH BAG  BLACK SKULL.,22629,22551,0,0
12429,7,21485,RETROSPOT HEART HOT WATER BOTTLE,23298,SPOTTY BUNTING,23298,22624,0,0
12429,8,21892,TRADITIONAL WOODEN CATCH CUP GAME ,23203,JUMBO BAG DOILEY PATTERNS,22630,23298,0,0
12429,9,23307,SET OF 60 PANTRY DESIGN CAKE CASES ,20728,LUNCH BAG CARS BLUE,20726,23307,0,0
