ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,NumDealsPurchases,NumWebPurchases,NumStorePurchases,Response
1082,1972,Basic,Together,41059.5149798068,0,1,97,11,5,82,0,4,5,0
1083,1989,Master,Single,50027.6471271888,0,1,74,288,2,246,1,5,3,0
1084,1970,Graduation,Together,43760.60261773944,0,2,72,42,8,350,3,6,3,1
1085,1965,Graduation,Together,16335.570374324052,0,0,39,126,10,234,2,2,4,0
1086,1994,Master,Divorced,49533.84695990406,0,0,40,337,31,40,0,7,8,0
1087,1967,Graduation,Married,31787.564728429043,0,1,8,30,5,586,1,5,7,0
1088,1996,2n Cycle,Married,57091.60865287122,0,1,7,40,79,67,3,6,7,0
1089,1973,Graduation,Single,74112.77020082224,1,2,43,19,24,27,1,4,7,1
1090,1975,Graduation,Married,15000.0,0,2,57,1662,20,103,4,4,3,0
1091,1974,Master,Married,43861.66031999439,0,0,66,146,17,193,2,5,2,0
1092,1994,Graduation,Married,61046.46465929962,0,0,12,708,25,13,3,2,6,0
1093,1990,PhD,Married,15000.0,0,0,18,104,0,150,1,4,9,0
1094,1978,Graduation,Together,78725.30720844463,2,1,97,419,138,292,2,3,2,0
1095,1964,Graduation,Married,59597.84073606967,0,0,95,74,24,45,2,4,5,0
1096,1994,PhD,Divorced,73664.25643863803,0,1,48,206,1,177,0,6,5,0
1097,1950,PhD,Single,40721.042737771415,0,0,79,522,26,76,4,5,7,0
1098,1974,PhD,Single,43133.58459447618,0,0,99,508,17,80,3,1,7,0
1099,1956,Master,Together,48781.27290401861,0,0,81,474,0,49,3,1,7,0
1100,1958,PhD,Divorced,94764.1809510308,0,0,77,520,77,146,1,3,3,1
1101,1973,Graduation,Married,78362.10720994133,0,1,29,71,0,67,2,4,6,0
1102,1950,Graduation,Divorced,54646.95399017494,1,0,65,197,25,266,3,4,5,0
1103,1993,2n Cycle,Single,57088.03543301568,1,0,76,199,97,494,3,3,3,1
1104,1957,Master,Single,64698.07623169866,0,0,90,663,8,410,2,3,10,0
1105,1973,PhD,Together,99831.09641982918,0,1,58,105,8,26,2,4,9,0
1106,1960,Graduation,Married,59654.39586114101,0,1,52,804,0,2,1,2,8,0
1107,1966,Graduation,Together,52919.1879223754,0,0,51,179,2,86,3,3,6,0
1108,1957,Master,Single,45228.032067700246,0,1,80,332,1,195,2,6,8,1
1109,1984,Basic,Married,56698.30495038882,1,0,30,93,51,568,2,6,2,0
1110,1984,PhD,Single,40259.56363297581,0,0,14,158,54,229,3,6,7,0
1111,1982,Master,Married,61921.846761537454,1,1,19,371,38,130,1,2,5,0
1112,1954,Master,Married,23348.06740416918,0,0,4,215,13,4,3,4,11,0
1113,1991,Graduation,Married,46789.98821187335,2,1,6,800,51,261,0,3,6,0
1114,1988,Graduation,Married,66692.65709454672,1,0,17,400,23,29,3,10,5,0
1115,1990,Graduation,Together,59382.47308674708,1,2,55,249,10,8,3,4,7,0
1116,1977,Graduation,Married,42747.507598966964,0,0,74,653,17,284,3,1,7,0
1117,1956,Basic,Widow,47359.50979166723,1,0,95,328,2,125,3,4,4,0
1118,1958,Graduation,Together,72706.69373384422,1,2,90,312,86,20,3,3,7,0
1119,1957,PhD,Married,27791.966079531576,1,0,89,84,28,73,2,5,0,0
1120,1961,Graduation,Single,27908.127041773398,0,0,44,150,39,13,0,4,3,0
1121,1983,Graduation,Divorced,33407.32095645006,1,0,27,344,33,152,4,2,6,0
1122,1982,Graduation,Single,51786.44271466713,0,0,49,667,33,49,2,5,9,0
1123,1997,Graduation,Married,24865.238654876157,0,0,1,113,0,301,3,6,3,0
1124,1972,PhD,Divorced,71060.03185531963,1,0,83,72,22,66,2,5,7,0
1125,1973,Graduation,Single,33514.15082288269,0,1,67,270,51,102,0,3,6,1
1126,1986,PhD,Married,56487.111154862585,0,0,76,20,1,9,3,4,4,0
1127,1984,Graduation,Married,40418.53798161194,0,1,23,376,93,48,2,8,11,0
1128,1993,Graduation,Together,50690.058383205476,1,0,47,364,16,169,2,2,5,0
1129,1989,Graduation,Married,19933.081806825132,0,0,44,131,10,199,1,4,6,0
1130,1971,PhD,Single,72026.32490419912,0,0,92,669,22,41,2,4,5,0
1131,1976,PhD,Married,32770.04003257198,0,0,57,209,48,105,4,2,5,0
1132,1984,Graduation,Divorced,30675.665579125947,1,0,35,311,19,255,2,0,4,0
1133,1950,Graduation,Together,99580.18026804185,0,0,1,70,31,71,0,4,9,0
1134,1984,Master,Married,63086.14621915216,1,0,17,162,20,21,1,6,7,0
1135,1986,Graduation,Married,71248.3281656615,0,0,48,595,29,84,1,1,3,0
1136,1996,Graduation,Together,61177.82792723797,1,0,7,71,4,137,2,5,8,0
1137,1963,Master,Single,42950.38880027197,2,0,57,148,1,1,2,6,9,0
1138,1952,PhD,Single,25863.00285089979,0,1,14,114,4,64,4,5,9,0
1139,1950,Graduation,Married,46023.59225148683,0,0,16,49,10,140,6,5,5,0
1140,1954,2n Cycle,Married,32436.813109488754,1,0,22,102,8,455,2,6,7,0
1141,1975,Master,Married,33637.69655130962,0,0,65,79,28,78,2,4,10,0
1142,1963,Graduation,Single,20336.253420606066,0,0,69,771,18,26,1,2,3,0
1143,1988,PhD,Married,54289.519195909925,1,0,92,405,1,114,0,4,5,0
1144,1976,PhD,Together,83468.24295051693,2,2,26,113,1,50,2,2,9,1
1145,1958,Graduation,Together,63162.734460528976,0,1,36,432,2,36,1,3,7,0
1146,1964,Graduation,Divorced,49884.19224296575,0,1,48,6,13,133,2,5,11,1
1147,1964,Graduation,Married,51188.562543796965,0,1,63,224,0,371,3,2,6,0
1148,1975,PhD,Married,15000.0,0,0,33,86,20,270,2,7,7,0
1149,1991,Graduation,Single,43523.29156201247,1,0,17,36,13,30,1,7,7,0
1150,1962,Master,Together,23466.48209559322,1,1,63,645,24,217,3,2,11,0
1151,1981,PhD,Married,54688.25055804553,1,0,73,66,38,39,2,7,8,0
1152,1988,Graduation,Divorced,46800.480226635314,0,0,43,518,8,51,1,5,3,1
1153,1998,PhD,Single,34613.90917584919,0,1,16,159,5,378,5,8,4,0
1154,1981,Graduation,Married,54237.93408977198,0,1,58,4,9,362,3,1,7,0
1155,1953,PhD,Married,54065.58306013886,0,0,12,395,0,27,2,5,6,0
1156,1979,PhD,Together,82372.48078912855,1,0,51,272,3,9,1,5,3,0
1157,1986,Graduation,Single,65728.35000893459,0,1,59,126,41,52,3,3,3,0
1158,1972,Graduation,Married,56339.45580073746,1,1,41,99,7,130,1,4,8,0
1159,1988,Graduation,Single,33049.71052697215,1,1,90,22,155,314,2,4,7,0
1160,1994,Graduation,Together,30531.217617850234,2,2,63,851,5,18,1,7,7,1
1161,1964,Graduation,Married,63976.96014873215,1,0,65,204,46,80,2,4,4,0
1162,1992,Graduation,Single,47998.6125511914,1,0,33,26,36,47,1,3,9,0
1163,1978,2n Cycle,Divorced,56987.31182253215,0,0,94,609,11,2,2,3,5,0
1164,1985,Graduation,Married,71560.0104834312,0,0,86,98,12,232,3,3,4,0
1165,1962,Graduation,Married,21737.224497163803,0,2,70,68,24,251,2,3,9,0
1166,1981,PhD,Together,79940.70770057988,0,2,63,98,57,37,1,8,4,0
1167,1956,Graduation,Divorced,71387.63573897992,1,0,32,249,14,24,4,2,5,0
1168,1971,2n Cycle,Widow,15000.0,1,0,11,23,1,23,3,4,11,0
1169,1977,PhD,Together,99061.84897821954,0,0,75,197,14,93,0,3,6,0
1170,1951,Master,Single,58427.526381629126,0,1,18,678,6,42,1,7,7,0
1171,1991,Graduation,Together,42429.233991540925,0,0,8,62,84,107,0,2,10,0
1172,1994,Graduation,Together,62381.24447209851,1,0,73,120,35,72,1,4,4,0
1173,1955,Graduation,Married,32450.507261225284,1,0,16,151,1,35,2,4,3,0
1174,1977,Master,Married,62922.56706387102,1,0,49,264,10,208,4,5,5,0
1175,1977,Graduation,Married,36130.07083329377,0,2,38,754,1,24,1,4,1,0
1176,1993,Graduation,Together,92407.19070941201,0,0,40,150,53,240,2,8,8,0
1177,1993,2n Cycle,Married,53202.00387812802,1,0,9,21,71,123,4,2,4,0
1178,1969,Graduation,Divorced,64996.46104145648,1,0,11,128,3,267,2,5,3,0
1179,1979,Graduation,Married,36278.69800695722,0,0,78,63,17,0,2,2,3,0
1180,1960,Graduation,Married,68329.92047786716,1,1,94,316,80,207,2,6,1,0
1181,1977,2n Cycle,Together,51748.39872995776,0,0,14,8,4,7,5,2,10,0
1182,1974,Graduation,Single,23762.965833561102,1,0,27,103,10,449,2,4,2,0
1183,1988,Master,Married,47224.74560223504,1,1,3,236,10,181,0,7,9,0
1184,1982,Master,Married,90622.22137725075,1,0,35,97,0,57,3,7,3,0
1185,1950,Graduation,Widow,69179.54052086615,0,1,64,240,1,57,4,6,5,0
1186,1976,PhD,Married,44420.49862187013,0,0,97,36,91,296,3,4,8,0
1187,1962,Graduation,Married,15000.0,1,0,46,858,25,349,2,3,4,0
1188,1990,Graduation,Single,35350.17643538737,1,1,80,103,10,333,2,1,6,1
1189,1952,Master,Married,23870.519919310773,0,1,38,769,14,248,5,6,6,0
1190,1988,Basic,Together,15099.839871330034,1,0,37,118,37,256,2,2,11,0
1191,1955,PhD,Married,67711.82260330605,0,0,43,456,13,127,3,2,7,0
1192,1957,PhD,Married,53247.74792760331,2,0,50,84,7,4,4,3,8,0
1193,1976,Graduation,Married,87902.16896687882,1,0,96,332,3,13,2,5,3,0
1194,1958,Graduation,Married,32047.16202404742,0,0,84,117,39,157,1,4,5,1
1195,1986,Graduation,Married,51954.3813048174,0,1,25,213,5,76,3,1,2,0
1196,1982,Graduation,Married,24116.512965061713,0,0,35,336,2,125,2,3,4,0
1197,1991,Graduation,Single,40102.53277667515,0,0,68,266,16,39,1,6,8,0
1198,1993,Graduation,Married,47557.800761348284,0,0,96,257,1,157,2,4,7,0
1199,1973,Graduation,Together,44506.920643767044,1,0,0,20,100,41,1,8,7,0
1200,1964,Graduation,Divorced,53070.81261231002,1,1,52,85,29,92,3,5,6,1
1201,1981,PhD,Single,71432.19126502774,0,0,5,254,4,97,2,5,5,0
1202,1981,Master,Married,69328.35170909108,0,0,36,5,5,29,1,1,9,0
1203,1973,Graduation,Divorced,36613.308318174015,0,2,1,86,25,313,3,6,4,0
1204,1990,2n Cycle,Married,51392.917562727016,0,0,68,78,13,111,1,4,13,1
1205,1998,Basic,Married,67881.92749918888,0,0,89,86,44,302,1,3,6,0
1206,1998,Graduation,Single,72714.73014859011,1,0,40,230,23,45,2,2,3,0
1207,1961,Master,Together,38776.86630691695,2,2,50,261,17,28,3,6,8,0
1208,1988,PhD,Together,66163.2890960048,0,2,46,719,98,2,2,9,2,0
1209,1951,PhD,Married,58622.93018375402,1,0,12,146,14,14,4,3,6,0
1210,1952,Graduation,Together,30680.21772922142,2,0,75,783,15,23,2,6,5,0
1211,1998,PhD,Married,68003.15925171471,0,2,68,316,32,12,1,4,5,0
1212,1986,Graduation,Divorced,55030.86416864938,1,0,65,731,49,340,5,6,6,0
1213,1998,PhD,Married,17172.187873469476,1,0,58,537,29,363,2,5,5,0
1214,1966,PhD,Divorced,46122.928785772616,0,1,67,349,35,415,3,4,4,0
1215,1998,PhD,Together,52797.15083169945,0,0,58,132,14,482,4,4,7,0
1216,1951,PhD,Single,39883.51042364813,1,0,90,82,19,101,0,1,5,1
1217,1951,Master,Single,76564.5685099705,1,1,9,75,6,113,1,4,4,0
1218,1977,Graduation,Single,77289.36981356211,0,0,12,912,34,21,1,3,10,0
1219,1972,Graduation,Married,44350.1968217431,0,0,1,955,7,22,1,5,4,0
1220,1986,Master,Married,42155.48957292516,0,0,89,387,0,222,0,4,6,1
1221,1981,Graduation,Married,49375.30653261358,1,0,14,645,81,290,1,1,7,1
1222,1982,Graduation,Divorced,47998.38868386638,0,0,45,753,10,230,1,5,7,0
1223,1950,Graduation,Single,40149.962123961544,1,0,56,214,6,269,2,4,9,0
1224,1968,Graduation,Together,15000.0,0,1,9,297,9,48,0,5,8,0
1225,1951,2n Cycle,Married,87096.23751199228,0,1,21,162,12,94,3,6,3,0
1226,1993,PhD,Married,52008.35927556285,0,0,88,162,19,92,3,0,7,0
1227,1975,2n Cycle,Together,48433.79776141847,0,1,78,11,2,803,2,4,5,0
1228,1981,PhD,Together,58503.38260103901,0,1,76,170,1,446,3,4,5,0
1229,1955,Graduation,Single,50398.8450293182,0,1,7,335,10,136,1,3,5,1
1230,1981,Graduation,Widow,43393.68310709101,0,0,20,164,10,22,0,5,7,1
1231,1953,PhD,Married,31887.080272161013,0,1,84,617,3,44,1,4,7,0
1232,1960,Graduation,Together,15227.74447008608,0,0,21,121,15,67,2,1,5,1
1233,1966,Basic,Together,24912.421400912128,0,0,96,42,10,309,0,5,3,0
1234,1987,Master,Married,29666.51866579706,1,0,44,500,0,28,1,6,10,0
1235,1973,Graduation,Married,65018.44316081938,1,1,90,336,65,37,1,3,6,1
1236,1954,2n Cycle,Married,66492.46293528788,2,0,39,83,65,64,4,2,3,0
1237,1983,Master,Divorced,34364.01791066458,0,0,21,230,7,392,1,4,6,0
1238,1955,PhD,Together,15000.0,0,1,29,154,5,105,2,9,4,1
1239,1971,Graduation,Together,52182.41439003753,0,1,61,838,23,156,4,8,2,0
1240,1960,Graduation,Divorced,43569.15568681363,0,1,72,280,29,73,4,4,6,1
1241,1997,PhD,Single,43074.750265997376,1,0,44,51,94,31,0,3,4,0
1242,1965,Graduation,Married,71118.74951528729,0,0,34,209,14,37,2,4,8,0
1243,1982,Graduation,Together,54773.05250945705,0,1,81,595,28,243,0,2,4,0
1244,1958,Master,Together,32472.407029598413,0,0,41,333,63,335,2,10,6,0
1245,1955,Graduation,Single,27871.739320819008,2,1,4,554,17,101,1,3,6,0
1246,1965,PhD,Single,46747.77286030087,2,0,26,86,3,66,3,8,5,0
1247,1978,2n Cycle,Single,33871.74475620716,0,2,69,657,14,247,0,1,3,0
1248,1952,Basic,Married,50552.04751944765,0,0,61,422,4,167,2,5,3,1
1249,1969,Graduation,Single,72522.84088803933,1,0,31,391,0,6,3,7,6,0
1250,1985,Basic,Married,24404.351768010998,2,1,7,127,41,64,3,6,2,0
1251,1968,Graduation,Married,53755.58869617937,0,0,84,655,8,171,3,4,7,1
1252,1975,Graduation,Married,70300.9996533878,0,0,17,304,0,127,2,8,3,0
1253,1952,PhD,Married,50276.25328363782,2,1,77,572,61,572,1,6,4,0
1254,1968,Graduation,Married,66431.61790235306,1,0,14,134,17,301,2,4,2,1
1255,1969,Graduation,Single,46254.550157690755,0,0,25,47,8,9,0,3,6,0
1256,1981,PhD,Divorced,55416.56158847274,0,0,52,121,9,194,2,5,5,0
1257,1956,Graduation,Married,60815.69864684353,2,0,43,182,8,61,2,2,4,0
1258,1990,Graduation,Married,40559.95123473731,1,0,31,228,6,171,2,2,6,0
1259,1982,Graduation,Married,91813.52034379999,1,1,27,214,55,144,1,3,9,0
1260,1989,Master,Married,63551.60360663843,1,1,38,236,5,104,3,4,6,0
1261,1988,PhD,Married,78059.70997433842,0,0,31,552,24,287,3,4,7,0
1262,1967,Graduation,Divorced,73420.47892721536,1,0,76,55,2,185,4,6,12,0
1263,1989,Graduation,Married,58545.78538566823,0,2,78,113,89,330,1,3,7,0
1264,1950,Graduation,Together,79715.78844719616,2,2,17,658,27,49,2,5,14,0
1265,1960,Graduation,Married,55758.29422383835,0,0,69,246,70,64,1,4,6,0
1266,1977,Master,Divorced,37404.49433651274,1,1,10,262,15,145,1,4,11,0
1267,1974,Graduation,Single,52296.384631259265,0,1,31,195,49,509,3,2,10,0
1268,1999,Graduation,Divorced,31876.661751697375,0,0,19,238,57,69,2,6,5,1
1269,1972,PhD,Single,15000.0,0,0,96,66,36,4,4,8,4,0
1270,1980,PhD,Married,34949.15513881949,1,0,39,237,2,88,4,5,8,0
1271,1979,PhD,Married,53457.6306594175,1,1,7,1760,0,117,1,4,8,0
1272,1991,Graduation,Single,73238.49570976163,1,1,34,250,5,242,4,8,4,0
1273,1984,Graduation,Married,34889.615908472915,0,1,68,13,3,195,5,4,5,1
1274,1956,Graduation,Together,72203.2490705431,0,0,98,477,38,501,1,3,4,1
1275,1965,Graduation,Married,27786.34028386246,2,1,77,151,24,228,3,3,10,0
1276,1975,PhD,Married,33609.550677210995,1,1,20,50,22,53,3,1,7,0
1277,1997,Master,Together,80983.13206792904,1,1,23,595,8,153,2,7,6,1
1278,1998,Master,Together,52952.42039924991,1,0,16,66,5,167,1,2,4,1
1279,1951,Master,Single,48527.56109430713,1,1,17,760,6,933,2,4,9,0
1280,1950,Graduation,Married,56705.59979815654,0,0,97,174,15,22,2,6,3,1
1281,1997,PhD,Together,27871.934985639084,1,1,11,407,40,31,3,5,4,1
1282,1961,Graduation,Married,45383.03742852355,1,1,15,237,8,25,0,2,6,0
1283,1954,PhD,Married,52053.22316253103,1,0,3,88,35,133,3,3,6,0
1284,1986,Graduation,Together,76627.61872358865,1,1,88,333,20,21,1,3,13,0
1285,1981,Graduation,Married,18591.65721397198,0,0,33,950,64,160,2,8,10,0
1286,1958,Graduation,Married,87259.80630751542,0,1,91,440,7,244,0,6,6,0
1287,1990,2n Cycle,Married,49507.045233499135,0,0,45,277,17,85,0,2,7,0
1288,1984,Graduation,Married,29788.875020659816,0,1,74,1401,3,123,3,2,4,0
1289,1968,Graduation,Married,26167.305677312175,1,2,76,92,12,365,2,5,6,0
1290,1997,Graduation,Married,57462.98634008413,1,0,30,19,21,126,1,3,7,1
1291,1965,Master,Married,25055.810398629485,0,0,24,9,39,35,2,5,6,0
1292,1952,PhD,Married,40797.529098138024,0,0,73,372,6,63,0,4,4,0
1293,1969,PhD,Together,47001.938782444035,2,0,23,531,7,113,2,3,7,0
1294,1973,Graduation,Married,74873.51478809651,1,0,64,302,29,25,3,2,13,1
1295,1982,PhD,Married,72369.06918527947,0,1,24,706,14,142,2,5,7,0
1296,1973,Graduation,Married,39140.15219762082,1,2,27,359,19,1078,2,4,8,0
1297,1960,Master,Single,47746.33659558156,0,1,35,139,54,158,3,5,5,0
1298,1998,PhD,Divorced,20092.301996485086,0,0,81,59,20,69,2,2,1,0
1299,1957,Graduation,Single,15000.0,0,1,5,775,31,60,3,3,5,1
1300,1985,Graduation,Single,27418.951048147606,0,1,65,32,32,402,1,3,4,0
1301,1987,Graduation,Together,74461.9472265162,0,0,66,234,48,307,0,3,6,0
1302,1989,Graduation,Single,67601.6144444292,2,0,71,113,30,95,2,9,9,0
1303,1969,Graduation,Together,59668.72525193228,1,0,94,94,2,65,2,4,8,0
1304,1984,PhD,Married,22847.51026758846,0,1,47,311,12,185,1,6,6,0
1305,1997,Graduation,Married,37766.808452177094,0,0,82,78,136,56,4,2,7,1
1306,1974,Graduation,Married,34843.579436427564,0,1,69,744,6,19,0,4,7,1
1307,1984,Graduation,Divorced,48680.03258758875,1,0,77,156,26,55,1,2,11,0
1308,1974,Graduation,Together,47418.92886735768,1,2,66,339,55,85,4,8,8,0
1309,1978,Basic,Single,31960.86286608343,0,0,47,390,26,44,2,3,9,0
1310,1967,Graduation,Married,58984.336157970865,0,1,64,344,13,36,2,2,3,0
1311,1995,PhD,Together,56578.927604084776,1,0,43,701,2,0,2,1,10,0
1312,1967,Master,Married,37423.53801814107,0,0,93,78,13,149,0,3,4,0
1313,1951,PhD,Married,58085.567832650624,0,1,62,26,6,142,1,1,8,0
1314,1984,Basic,Single,74485.70736661041,1,2,45,17,97,31,1,5,5,0
1315,1965,Graduation,Together,80561.21554246492,0,0,18,630,37,431,3,4,4,0
1316,1990,2n Cycle,Married,61813.24313219718,0,0,63,1086,41,79,2,2,6,0
1317,1985,Graduation,Single,61225.35886818712,0,0,82,108,17,3,1,6,7,1
1318,1982,Graduation,Married,47197.22171951377,0,0,72,354,3,37,4,3,1,1
1319,1953,PhD,Widow,72594.25791070318,1,0,70,2,9,176,3,6,6,0
1320,1982,2n Cycle,Married,30592.970973204257,2,1,49,62,9,33,1,5,1,0
1321,1963,Master,Married,70277.0028681633,1,2,62,350,20,8,4,3,5,0
1322,1970,Graduation,Married,46247.90531638394,1,0,40,20,18,144,4,6,4,0
1323,1997,Graduation,Married,81818.73654403459,0,0,6,189,17,109,1,8,3,0
1324,1969,2n Cycle,Married,63764.12814080149,1,0,8,325,20,214,2,4,6,0
1325,1957,Graduation,Together,50642.67537853799,2,0,3,435,130,222,2,5,6,0
1326,1956,Master,Divorced,47270.24702191453,0,0,88,181,10,482,3,4,4,0
1327,1952,Master,Single,62512.25708896874,0,0,48,298,28,8,1,1,3,0
1328,1966,Graduation,Married,61542.486953721105,1,0,75,232,8,5,2,5,3,0
1329,1982,Graduation,Together,44033.13990998945,1,0,5,16,18,653,2,4,6,0
